game,draw,date,first,second,third,fourth,fifth,sixth
1,1,07/08/2021,10,15,22,41,51,57
1,2,14/08/2021,1,2,15,19,39,43
1,3,21/08/2021,17,18,27,28,35,57
1,4,28/08/2021,18,24,34,49,50,57
1,5,04/09/2021,1,14,21,36,39,41
1,6,11/09/2021,2,13,38,42,52,54
1,7,18/09/2021,19,32,44,45,52,53
1,8,25/09/2021,13,15,31,32,36,56
1,9,02/10/2021,32,35,36,37,40,51
1,10,09/10/2021,6,9,30,48,51,52
1,11,16/10/2021,4,18,21,24,37,58
1,12,23/10/2021,4,13,21,27,28,37
1,13,30/10/2021,7,18,47,51,56,59
2,1,06/11/2021,3,7,21,29,34,39
2,2,13/11/2021,13,14,16,28,43,52
2,3,20/11/2021,5,16,17,32,51,59
2,4,27/11/2021,1,15,16,17,24,48
2,5,04/12/2021,8,24,25,32,33,46
2,6,11/12/2021,6,13,14,15,31,33
2,7,18/12/2021,12,23,27,45,51,54
2,8,25/12/2021,15,24,26,30,42,59
2,9,01/01/2022,14,29,31,41,43,56
2,10,08/01/2022,21,28,33,36,43,46
2,11,15/01/2022,13,14,25,31,37,39
3,1,22/01/2022,1,20,25,35,46,59
3,2,29/01/2022,04,12,35,41,47,50
3,3,05/02/2022,8,24,36,39,46,56
3,4,12/02/2022,9,16,26,28,47,58
3,5,19/02/2022,33,34,44,50,56,57
3,6,26/02/2022,5,8,33,37,47,52
